2015-01-25 01:34:01,287 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-01-25 01:34:01,289 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:34:01,289 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-site/src/test/resources
2015-01-25 01:49:03,303 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:03,304 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:49:03,305 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:03,305 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:49:13,120 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:13,120 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:49:13,138 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:13,142 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:49:21,885 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:21,889 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:49:21,890 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:21,901 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:49:31,999 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:31,999 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:49:32,000 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:49:32,001 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:50:37,253 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:50:37,260 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:50:37,261 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:50:37,262 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:50:55,536 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:50:55,538 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:50:55,539 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:50:55,539 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:51:23,113 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:51:23,113 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:51:23,114 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:51:23,114 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:51:33,715 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
